MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Class
173.888747,1.197191424,0.549812187,28715,190.1410973,0.763922518,SEKER
182.7344194,1.097356461,0.411785251,29172,191.2727505,0.783968133,SEKER
175.9311426,1.209712656,0.562727317,29690,193.4109041,0.778113248,SEKER
182.5165157,1.153638059,0.498615976,30724,195.4670618,0.782681273,SEKER
190.2792788,1.06079802,0.333679658,30417,195.896503,0.773098035,SEKER
181.5101816,1.171066849,0.52040066,30600,196.3477022,0.775688485,SEKER
184.0390501,1.146768336,0.489477894,30970,196.9886332,0.762401501,SEKER
182.7372038,1.165590535,0.513759558,30847,197.1243203,0.770681818,SEKER
183.1571463,1.165852108,0.51408086,31044,197.659696,0.771561479,SEKER
180.8974686,1.2008339,0.553642225,31120,198.1390121,0.783682806,SEKER
184.4398709,1.157884618,0.504102365,31280,198.4055115,0.770805285,SEKER
188.3268476,1.117664622,0.446621924,31458,198.9630385,0.786377317,SEKER
184.9692526,1.160455295,0.507365875,31423,199.0142269,0.761046142,SEKER
183.6443122,1.178826797,0.529514251,31492,199.1773023,0.798759229,SEKER
187.1929601,1.132879009,0.469924157,31474,199.1773023,0.781313473,SEKER
186.5620882,1.141582018,0.482352224,31520,199.2412169,0.764110482,SEKER
184.4716842,1.168963657,0.517871223,31573,199.3178875,0.779192888,SEKER
184.8748759,1.163315112,0.510946829,31558,199.3210815,0.762984155,SEKER
187.535939,1.132851229,0.469883494,31593,199.5413417,0.770322199,SEKER
184.1634403,1.177161395,0.52758671,31599,199.7422367,0.774277242,SEKER
182.0088637,1.207992784,0.56099452,31604,199.8664991,0.769196823,SEKER
188.0664823,1.136755746,0.475535642,31791,200.3627781,0.768949371,SEKER
185.4482507,1.171793345,0.52126839,32197,200.499357,0.756964757,SEKER
175.510446,1.308863717,0.645190802,32045,200.702465,0.761823348,SEKER
171.2105592,1.3828156,0.690678219,32009,200.8229633,0.740935673,SEKER
192.2484159,1.092574316,0.402841974,32026,200.8451524,0.773184303,SEKER
187.2724497,1.151845384,0.496263281,32093,200.9117052,0.777110501,SEKER
184.1151053,1.193690859,0.546072628,32020,201.0542441,0.775589974,SEKER
183.2920681,1.205504947,0.558465259,32173,201.1175623,0.777674419,SEKER
180.9171228,1.238051321,0.589564969,32052,201.2536289,0.773877293,SEKER
189.9692019,1.125106823,0.458286561,32168,201.2852592,0.772354369,SEKER
181.8946963,1.225284154,0.57785815,32274,201.2915846,0.774847821,SEKER
180.4394219,1.246471264,0.596968354,32238,201.3358572,0.785245659,SEKER
188.0653069,1.150240653,0.494138341,32184,201.5823407,0.777655945,SEKER
190.6449473,1.120866215,0.451705439,32246,201.7622728,0.772270531,SEKER
191.4872537,1.111757361,0.436968432,32258,201.8253689,0.774212284,SEKER
192.4225318,1.102632806,0.421302377,32391,201.8316774,0.789741311,SEKER
191.8101346,1.110108127,0.43420694,32375,201.897905,0.761880964,SEKER
176.9318083,1.305469433,0.642831065,32349,201.9325869,0.779448988,SEKER
181.9408668,1.233820224,0.5857513,32308,201.970415,0.770514671,SEKER
188.9705403,1.143813985,0.48544352,32395,201.9893264,0.778069153,SEKER
189.3033869,1.140593884,0.48097147,32301,202.030295,0.779804909,SEKER
173.2308993,1.364864213,0.680580172,32481,202.058653,0.780878628,SEKER
182.3644962,1.230899418,0.583080944,32567,202.1940863,0.767625332,SEKER
183.8290361,1.211220556,0.564236127,32393,202.2098285,0.760670804,SEKER
188.2047159,1.158103377,0.504381753,32521,202.3766203,0.76059302,SEKER
185.2954324,1.195286422,0.547784367,32585,202.5212716,0.762907351,SEKER
184.4046839,1.207974042,0.560975566,32566,202.5369884,0.754431565,SEKER
185.5923729,1.192040817,0.54428951,32710,202.5841313,0.775204425,SEKER
186.0277835,1.187892253,0.539747143,32514,202.6406883,0.764060649,SEKER
186.2777558,1.185348348,0.536918908,32612,202.6626784,0.775805676,SEKER
184.5129929,1.206953791,0.559941518,32563,202.6752432,0.781313572,SEKER
188.5531418,1.15713587,0.503143726,32623,202.7286345,0.790183599,SEKER
189.591319,1.146526426,0.489149967,32615,202.8667587,0.784843629,SEKER
186.136273,1.189512059,0.541530905,32672,202.9138251,0.782490866,SEKER
186.3604099,1.18737462,0.539174328,32720,202.9671537,0.783793605,SEKER
186.1762293,1.190581987,0.542701939,32806,203.0079249,0.759099437,SEKER
188.3004274,1.163725525,0.511456521,32608,203.0330109,0.784302326,SEKER
188.0092368,1.169286684,0.518261408,32775,203.2116585,0.769320176,SEKER
183.6920946,1.225977906,0.578509868,32767,203.3118831,0.765034405,SEKER
187.1344232,1.183349841,0.534673644,32843,203.4652564,0.7849831,SEKER
187.2561106,1.181605154,0.532696427,32811,203.4777716,0.758915235,SEKER
187.6655865,1.176673909,0.527019605,32842,203.4777716,0.794032183,SEKER
184.2147342,1.221823306,0.574579254,33000,203.4996712,0.769057978,SEKER
182.8423057,1.241712486,0.592813998,32901,203.6654067,0.781922043,SEKER
184.9234713,1.213605695,0.566603091,32851,203.6747839,0.772061611,SEKER
191.002277,1.142115946,0.483095172,33016,203.7810289,0.808562858,SEKER
177.1581895,1.328027061,0.658024288,32902,203.802896,0.779311992,SEKER
185.1437243,1.215348733,0.568317852,32994,204.0401594,0.767684831,SEKER
186.1499298,1.20266426,0.555543833,33021,204.0619987,0.779469946,SEKER
193.4864621,1.113340533,0.43959156,33020,204.0869551,0.799516082,SEKER
194.793825,1.099961565,0.416528466,33066,204.1368587,0.769153036,SEKER
187.4792477,1.188771846,0.540717403,33120,204.2771471,0.790153816,SEKER
189.8094038,1.159189666,0.505764488,33062,204.2802636,0.772630835,SEKER
185.6002312,1.213415795,0.566415511,33091,204.3425821,0.775992617,SEKER
187.4192621,1.190621317,0.542744878,33111,204.3456976,0.800820453,SEKER
190.1123396,1.156713709,0.502601593,33087,204.3550436,0.746177996,SEKER
189.0026275,1.172467827,0.522071263,33154,204.4484801,0.789785166,SEKER
191.7587728,1.138962252,0.478674896,33225,204.4702758,0.80291471,SEKER
181.7436855,1.269492841,0.616038378,33245,204.5107474,0.746568182,SEKER
190.0206598,1.159653709,0.506352834,33198,204.5761077,0.781242573,SEKER
184.5596932,1.230319577,0.582547095,33225,204.6227808,0.785669916,SEKER
191.4622125,1.144315272,0.486132629,33376,204.7316434,0.777974713,SEKER
186.4615283,1.207370616,0.560364527,33252,204.7471905,0.768683025,SEKER
189.6018111,1.167756413,0.516407505,33401,204.7751722,0.776708646,SEKER
200.2495993,1.047159612,0.296720861,33336,204.8155836,0.765319396,SEKER
185.5215755,1.221685649,0.574447868,33524,204.8280162,0.770801656,SEKER
187.1772945,1.20074238,0.553546741,33461,204.9429826,0.766699205,SEKER
188.2429412,1.187442927,0.539249994,33458,204.9988888,0.757018349,SEKER
186.8900915,1.203762369,0.556677424,33374,205.0113104,0.791587732,SEKER
